stim,sent,race,glasses,tattoos,trust,trust_2nd,afro,zAfro,attract,fWHR,zfWHR,maturity,DCNum,DCNum_MatchedControl
352,0,-1,0,0,3.586207,2.551724,7.047619,1.546887,2.733333,1.879678,-0.915593,4.727273,426835,617512
353,0,-1,0,0,3.482759,2.62069,5.809524,-0.30197,1.666667,1.958272,-0.501441,4.045455,444523,189492
354,0,-1,0,0,2.827586,3,6.761905,1.120228,2.066667,1.91791,-0.714126,5.409091,448608,818055
355,0,-1,0,0,3.068966,2.206897,6.238095,0.338019,1.466667,2.031661,-0.114711,5.045455,452938,460254
356,0,-1,0,0,3.551724,2.586207,6.095238,0.12469,1.933333,2.0466,-0.035991,4.5,472575,82049
357,0,-1,0,0,2.862069,2.896552,6,-0.01753,1.333333,1.909962,-0.756012,5.681818,488577,B01978
358,0,-1,0,0,1.655172,2.758621,3.761905,-3.359694,2.6,1.909596,-0.75794,5.5,524895,J03793
359,0,-1,0,0,3.068966,2.586207,7.238095,1.831327,1.133333,2.088831,0.186551,5.590909,539688,891678
360,0,-1,0,0,2.275862,2.344828,6.952381,1.404667,2.866667,2.200267,0.773764,4.863636,540231,92162
361,0,-1,1,0,3.793103,2.827586,5.904762,-0.15975,1.933333,1.750855,-1.594435,5.590909,585365,23970
362,0,-1,0,0,2.827586,2.931034,6.285714,0.409129,1.8,1.836928,-1.140866,4.454545,603352,638947
363,0,-1,0,0,2.724138,2.551724,6.666667,0.978008,1.8,1.935641,-0.620694,4.409091,608253,111761
364,0,-1,0,0,3.206897,2.758621,6.857143,1.262448,1.8,2.256857,1.071969,4.318182,618834,126964
365,0,-1,0,0,3.448276,2.793103,6.952381,1.404667,2.333333,1.904882,-0.782779,4.909091,625721,124237
366,0,-1,1,0,3.827586,3,6.47619,0.693569,1.8,1.851923,-1.06185,5.681818,661810,58673
367,1,1,0,0,2.689655,2.310345,1.142857,-1.201383,2.210526,2.25,1.641508,5.454545,216728,216728
